Participant: 20
MachineID: W0008408
Start Time: Tue, Oct 29, 2013 11:26:20
Seed: 92656
subject	trial	cond	totalTime	trialTime	prevTarget	curTarget	nextTarget	hitTargetPos	timeTargetHit	objTouched	Correct	xPos	yPos
20	0	NB87	16	16	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	32	32	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	48	48	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	64	64	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	80	80	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	96	96	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	112	112	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	128	128	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	144	144	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	160	160	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	176	176	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	192	192	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	208	208	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	224	224	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	240	240	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	256	256	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	272	272	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	288	288	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	304	304	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	320	320	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	336	336	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	352	352	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	368	368	-1	3	1	-1	-1	-1	-1	512	384
20	0	NB87	384	384	-1	3	1	-1	-1	-1	-1	513	384
20	0	NB87	400	400	-1	3	1	-1	-1	-1	-1	514	384
20	0	NB87	416	416	-1	3	1	-1	-1	-1	-1	515	384
20	0	NB87	432	432	-1	3	1	-1	-1	-1	-1	515	384
20	0	NB87	448	448	-1	3	1	-1	-1	-1	-1	515	384
20	0	NB87	464	464	-1	3	1	-1	-1	-1	-1	517	384
20	0	NB87	480	480	-1	3	1	-1	-1	-1	-1	519	384
20	0	NB87	496	496	-1	3	1	-1	-1	-1	-1	522	384
20	0	NB87	512	512	-1	3	1	-1	-1	-1	-1	523	385
20	0	NB87	528	528	-1	3	1	-1	-1	-1	-1	524	387
20	0	NB87	544	544	-1	3	1	-1	-1	-1	-1	526	391
20	0	NB87	560	560	-1	3	1	-1	-1	-1	-1	529	398
20	0	NB87	576	576	-1	3	1	-1	-1	-1	-1	535	406
20	0	NB87	592	592	-1	3	1	-1	-1	-1	-1	542	414
20	0	NB87	608	608	-1	3	1	-1	-1	-1	-1	548	421
20	0	NB87	624	624	-1	3	1	-1	-1	-1	-1	555	428
20	0	NB87	640	640	-1	3	1	-1	-1	-1	-1	560	435
20	0	NB87	656	656	-1	3	1	-1	-1	-1	-1	567	444
20	0	NB87	672	672	-1	3	1	-1	-1	-1	-1	574	456
20	0	NB87	688	688	-1	3	1	-1	-1	-1	-1	580	467
20	0	NB87	704	704	-1	3	1	-1	-1	-1	-1	585	473
20	0	NB87	720	720	-1	3	1	-1	-1	-1	-1	589	477
20	0	NB87	736	736	-1	3	1	-1	-1	-1	-1	594	480
20	0	NB87	752	752	-1	3	1	-1	-1	-1	-1	598	484
20	0	NB87	768	768	-1	3	1	-1	-1	-1	-1	603	490
20	0	NB87	784	784	-1	3	1	-1	-1	-1	-1	615	503
20	0	NB87	800	800	-1	3	1	-1	-1	-1	-1	629	516
20	0	NB87	816	816	-1	3	1	-1	-1	-1	-1	641	524
20	0	NB87	832	832	-1	3	1	-1	-1	-1	-1	654	530
20	0	NB87	848	848	-1	3	1	-1	-1	-1	-1	669	536
20	0	NB87	864	864	-1	3	1	-1	-1	-1	-1	683	543
20	0	NB87	880	880	-1	3	1	-1	-1	-1	-1	694	550
20	0	NB87	896	896	-1	3	1	-1	-1	-1	-1	706	560
20	0	NB87	912	912	-1	3	1	-1	-1	-1	-1	719	572
20	0	NB87	928	928	-1	3	1	-1	-1	-1	-1	726	578
20	0	NB87	944	944	-1	3	1	-1	-1	-1	-1	729	581
20	0	NB87	960	960	-1	3	1	-1	-1	-1	-1	732	585
20	0	NB87	976	976	-1	3	1	-1	-1	-1	-1	735	591
20	0	NB87	992	992	-1	3	1	3	73102	3	1	737	598
20	0	NB87	1008	1008	-1	3	1	3	73102	3	0	738	600
20	0	NB87	1024	1024	-1	3	1	3	73102	3	0	739	601
20	0	NB87	1040	1040	-1	3	1	3	73102	3	0	739	601
20	0	NB87	1056	1056	-1	3	1	3	73102	3	0	739	601
20	0	NB87	1072	1072	-1	3	1	3	73102	3	0	741	603
20	0	NB87	1088	1088	-1	3	1	3	73102	3	0	744	606
20	0	NB87	1104	1104	-1	3	1	3	73102	3	0	746	608
20	0	NB87	1120	1120	-1	3	1	3	73102	3	0	747	609
20	0	NB87	1136	1136	-1	3	1	3	73102	3	0	747	609
20	0	NB87	1152	1152	-1	3	1	3	73102	3	0	747	609
20	0	NB87	1168	1168	-1	3	1	3	73102	3	0	748	610
20	0	NB87	1184	1184	-1	3	1	3	73102	3	0	749	612
20	0	NB87	1200	1200	-1	3	1	3	73102	3	0	749	612
20	0	NB87	1216	1216	-1	3	1	3	73102	3	0	749	612
20	0	NB87	1232	1232	-1	3	1	3	73102	3	0	749	612
20	0	NB87	1248	1248	-1	3	1	3	73102	3	0	749	612
20	0	NB87	1264	1264	-1	3	1	3	73102	3	0	749	612
20	0	NB87	1280	1280	-1	3	1	3	73102	3	0	749	612
20	0	NB87	1296	1296	-1	3	1	3	73102	3	0	749	612
20	0	NB87	1312	1312	-1	3	1	3	73102	3	0	749	612
20	0	NB87	1328	1328	-1	3	1	3	73102	3	0	749	613
20	0	NB87	1344	1344	-1	3	1	3	73102	3	0	749	613
20	0	NB87	1360	1360	-1	3	1	3	73102	3	0	749	613
20	0	NB87	1376	1376	-1	3	1	3	73102	3	0	749	613
20	0	NB87	1392	1392	-1	3	1	3	73102	3	0	749	613
20	0	NB87	1408	1408	-1	3	1	3	73102	3	0	749	613
20	0	NB87	1424	1424	-1	3	1	3	73102	3	0	749	613
20	0	NB87	1440	1440	-1	3	1	3	73102	3	0	748	613
20	0	NB87	1456	1456	-1	3	1	3	73102	3	0	748	613
20	0	NB87	1472	1472	-1	3	1	3	73102	3	0	748	613
20	0	NB87	1488	1488	-1	3	1	3	73102	3	0	748	613
20	0	NB87	1504	1504	3	1	2	3	73102	3	0	748	613
20	0	NB87	1520	1520	3	1	2	3	73102	3	0	748	613
20	0	NB87	1536	1536	3	1	2	3	73102	3	0	748	613
20	0	NB87	1552	1552	3	1	2	3	73102	3	0	748	613
20	0	NB87	1568	1568	3	1	2	3	73102	3	0	748	611
20	0	NB87	1584	1584	3	1	2	3	73102	3	0	748	611
20	0	NB87	1600	1600	3	1	2	3	73102	3	0	748	611
20	0	NB87	1616	1616	3	1	2	3	73102	3	0	748	611
20	0	NB87	1632	1632	3	1	2	3	73102	3	0	748	611
20	0	NB87	1648	1648	3	1	2	3	73102	3	0	748	611
20	0	NB87	1664	1664	3	1	2	3	73102	3	0	748	611
20	0	NB87	1680	1680	3	1	2	3	73102	3	0	748	611
20	0	NB87	1696	1696	3	1	2	3	73102	3	0	748	611
20	0	NB87	1712	1712	3	1	2	3	73102	3	0	748	611
20	0	NB87	1728	1728	3	1	2	3	73102	3	0	748	611
20	0	NB87	1744	1744	3	1	2	3	73102	3	0	748	611
20	0	NB87	1760	1760	3	1	2	3	73102	3	0	748	611
20	0	NB87	1776	1776	3	1	2	3	73102	3	0	748	611
20	0	NB87	1792	1792	3	1	2	3	73102	3	0	748	611
20	0	NB87	1808	1808	3	1	2	3	73102	3	0	748	611
20	0	NB87	1824	1824	3	1	2	3	73102	3	0	748	611
20	0	NB87	1840	1840	3	1	2	3	73102	3	0	748	611
20	0	NB87	1856	1856	3	1	2	3	73102	3	0	748	611
20	0	NB87	1872	1872	3	1	2	3	73102	3	0	748	611
20	0	NB87	1888	1888	3	1	2	3	73102	3	0	748	611
20	0	NB87	1904	1904	3	1	2	3	73102	3	0	748	611
20	0	NB87	1920	1920	3	1	2	3	73102	3	0	748	609
20	0	NB87	1936	1936	3	1	2	3	73102	3	0	750	595
20	0	NB87	1952	1952	3	1	2	3	73102	3	0	752	564
20	0	NB87	1968	1968	3	1	2	3	73102	3	0	751	523
20	0	NB87	1984	1984	3	1	2	3	73102	3	0	746	475
20	0	NB87	2000	2000	3	1	2	3	73102	3	0	739	428
20	0	NB87	2016	2016	3	1	2	3	73102	3	0	733	386
20	0	NB87	2032	2032	3	1	2	3	73102	3	0	730	352
20	0	NB87	2048	2048	3	1	2	3	73102	3	0	730	324
20	0	NB87	2064	2064	3	1	2	3	73102	3	0	730	301
20	0	NB87	2080	2080	3	1	2	3	73102	3	0	730	285
20	0	NB87	2096	2096	3	1	2	3	73102	3	0	730	271
20	0	NB87	2112	2112	3	1	2	3	73102	3	0	732	262
20	0	NB87	2128	2128	3	1	2	3	73102	3	0	735	253
20	0	NB87	2144	2144	3	1	2	3	73102	3	0	736	243
20	0	NB87	2160	2160	3	1	2	3	73102	3	0	736	233
20	0	NB87	2176	2176	3	1	2	3	73102	3	0	737	223
20	0	NB87	2192	2192	3	1	2	3	73102	3	0	738	213
20	0	NB87	2208	2208	3	1	2	3	73102	3	0	739	202
20	0	NB87	2224	2224	3	1	2	3	73102	3	0	739	188
20	0	NB87	2240	2240	3	1	2	3	73102	3	0	740	177
20	0	NB87	2256	2256	3	1	2	3	73102	3	0	743	169
20	0	NB87	2272	2272	3	1	2	3	73102	3	0	745	164
20	0	NB87	2288	2288	3	1	2	1	74398	1	1	747	160
20	0	NB87	2304	2304	3	1	2	1	74398	1	0	747	157
20	0	NB87	2320	2320	3	1	2	1	74398	1	0	747	154
20	0	NB87	2336	2336	3	1	2	1	74398	1	0	747	151
20	0	NB87	2352	2352	3	1	2	1	74398	1	0	747	149
20	0	NB87	2368	2368	3	1	2	1	74398	1	0	747	147
20	0	NB87	2384	2384	3	1	2	1	74398	1	0	748	145
20	0	NB87	2400	2400	3	1	2	1	74398	1	0	749	143
20	0	NB87	2416	2416	3	1	2	1	74398	1	0	750	141
20	0	NB87	2432	2432	3	1	2	1	74398	1	0	750	140
20	0	NB87	2448	2448	3	1	2	1	74398	1	0	750	140
20	0	NB87	2464	2464	3	1	2	1	74398	1	0	750	140
20	0	NB87	2480	2480	3	1	2	1	74398	1	0	750	140
20	0	NB87	2496	2496	3	1	2	1	74398	1	0	750	140
