Participant: 7
MachineID: W0008408
Start Time: Thu, Oct 24, 2013 10:40:00
Seed: 42668
subject	trial	cond	totalTime	trialTime	prevTarget	curTarget	nextTarget	hitTargetPos	timeTargetHit	objTouched	Correct	xPos	yPos
7	0	random	16	16	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	32	32	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	48	48	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	64	64	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	80	80	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	96	96	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	112	112	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	128	128	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	144	144	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	160	160	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	176	176	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	192	192	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	208	208	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	224	224	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	240	240	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	256	256	-1	0	2	-1	-1	-1	-1	512	384
7	0	random	272	272	-1	0	2	-1	-1	-1	-1	512	385
7	0	random	288	288	-1	0	2	-1	-1	-1	-1	512	386
7	0	random	304	304	-1	0	2	-1	-1	-1	-1	512	386
7	0	random	320	320	-1	0	2	-1	-1	-1	-1	512	387
7	0	random	336	336	-1	0	2	-1	-1	-1	-1	512	387
7	0	random	352	352	-1	0	2	-1	-1	-1	-1	512	387
7	0	random	368	368	-1	0	2	-1	-1	-1	-1	512	387
7	0	random	384	384	-1	0	2	-1	-1	-1	-1	510	387
7	0	random	400	400	-1	0	2	-1	-1	-1	-1	504	387
7	0	random	416	416	-1	0	2	-1	-1	-1	-1	490	386
7	0	random	432	432	-1	0	2	-1	-1	-1	-1	472	384
7	0	random	448	448	-1	0	2	-1	-1	-1	-1	458	381
7	0	random	464	464	-1	0	2	-1	-1	-1	-1	452	377
7	0	random	480	480	-1	0	2	-1	-1	-1	-1	451	370
7	0	random	496	496	-1	0	2	-1	-1	-1	-1	452	359
7	0	random	512	512	-1	0	2	-1	-1	-1	-1	455	349
7	0	random	528	528	-1	0	2	-1	-1	-1	-1	460	344
7	0	random	544	544	-1	0	2	-1	-1	-1	-1	464	342
7	0	random	560	560	-1	0	2	-1	-1	-1	-1	465	341
7	0	random	576	576	-1	0	2	-1	-1	-1	-1	465	341
7	0	random	592	592	-1	0	2	-1	-1	-1	-1	465	341
7	0	random	608	608	-1	0	2	-1	-1	-1	-1	465	341
7	0	random	624	624	-1	0	2	-1	-1	-1	-1	465	341
7	0	random	640	640	-1	0	2	-1	-1	-1	-1	462	341
7	0	random	656	656	-1	0	2	-1	-1	-1	-1	453	338
7	0	random	672	672	-1	0	2	-1	-1	-1	-1	438	334
7	0	random	688	688	-1	0	2	-1	-1	-1	-1	422	327
7	0	random	704	704	-1	0	2	-1	-1	-1	-1	408	319
7	0	random	720	720	-1	0	2	-1	-1	-1	-1	398	309
7	0	random	736	736	-1	0	2	-1	-1	-1	-1	393	302
7	0	random	752	752	-1	0	2	-1	-1	-1	-1	393	298
7	0	random	768	768	-1	0	2	-1	-1	-1	-1	393	295
7	0	random	784	784	-1	0	2	-1	-1	-1	-1	394	293
7	0	random	800	800	-1	0	2	-1	-1	-1	-1	394	291
7	0	random	816	816	-1	0	2	-1	-1	-1	-1	394	288
7	0	random	832	832	-1	0	2	-1	-1	-1	-1	392	286
7	0	random	848	848	-1	0	2	-1	-1	-1	-1	390	284
7	0	random	864	864	-1	0	2	-1	-1	-1	-1	387	281
7	0	random	880	880	-1	0	2	-1	-1	-1	-1	381	274
7	0	random	896	896	-1	0	2	-1	-1	-1	-1	374	262
7	0	random	912	912	-1	0	2	-1	-1	-1	-1	365	249
7	0	random	928	928	-1	0	2	-1	-1	-1	-1	354	234
7	0	random	944	944	-1	0	2	-1	-1	-1	-1	343	219
7	0	random	960	960	-1	0	2	-1	-1	-1	-1	333	201
7	0	random	976	976	-1	0	2	-1	-1	-1	-1	323	183
7	0	random	992	992	-1	0	2	-1	-1	-1	-1	313	167
7	0	random	1008	1008	-1	0	2	-1	-1	-1	-1	305	153
7	0	random	1024	1024	-1	0	2	-1	-1	-1	-1	300	141
7	0	random	1040	1040	-1	0	2	-1	-1	-1	-1	298	134
7	0	random	1056	1056	-1	0	2	-1	-1	-1	-1	297	131
7	0	random	1072	1072	-1	0	2	-1	-1	-1	-1	297	131
7	0	random	1088	1088	-1	0	2	-1	-1	-1	-1	297	131
7	0	random	1104	1104	-1	0	2	-1	-1	-1	-1	297	131
7	0	random	1120	1120	-1	0	2	-1	-1	-1	-1	296	132
7	0	random	1136	1136	-1	0	2	-1	-1	-1	-1	294	133
7	0	random	1152	1152	-1	0	2	0	50389	0	1	289	134
7	0	random	1168	1168	-1	0	2	0	50389	0	0	279	133
7	0	random	1184	1184	-1	0	2	0	50389	0	0	269	130
7	0	random	1200	1200	-1	0	2	0	50389	0	0	265	127
7	0	random	1216	1216	-1	0	2	0	50389	0	0	264	125
7	0	random	1232	1232	-1	0	2	0	50389	0	0	264	124
7	0	random	1248	1248	-1	0	2	0	50389	0	0	264	124
7	0	random	1264	1264	-1	0	2	0	50389	0	0	264	124
7	0	random	1280	1280	-1	0	2	0	50389	0	0	264	124
7	0	random	1296	1296	-1	0	2	0	50389	0	0	264	124
7	0	random	1312	1312	-1	0	2	0	50389	0	0	264	124
7	0	random	1328	1328	-1	0	2	0	50389	0	0	264	124
7	0	random	1344	1344	-1	0	2	0	50389	0	0	264	124
7	0	random	1360	1360	-1	0	2	0	50389	0	0	265	125
7	0	random	1376	1376	-1	0	2	0	50389	0	0	266	126
7	0	random	1392	1392	-1	0	2	0	50389	0	0	269	129
7	0	random	1408	1408	-1	0	2	0	50389	0	0	278	136
7	0	random	1424	1424	-1	0	2	0	50389	0	0	293	147
7	0	random	1440	1440	-1	0	2	0	50389	0	0	312	162
7	0	random	1456	1456	-1	0	2	0	50389	0	0	329	179
7	0	random	1472	1472	-1	0	2	0	50389	0	0	343	195
7	0	random	1488	1488	-1	0	2	0	50389	0	0	352	209
7	0	random	1504	1504	-1	0	2	0	50389	0	0	358	218
7	0	random	1520	1520	-1	0	2	0	50389	0	0	363	226
7	0	random	1536	1536	-1	0	2	0	50389	0	0	365	233
7	0	random	1552	1552	-1	0	2	0	50389	0	0	366	238
7	0	random	1568	1568	-1	0	2	0	50389	0	0	366	240
7	0	random	1584	1584	-1	0	2	0	50389	0	0	366	241
7	0	random	1600	1600	-1	0	2	0	50389	0	0	366	241
7	0	random	1616	1616	-1	0	2	0	50389	0	0	366	241
7	0	random	1632	1632	-1	0	2	0	50389	0	0	365	241
7	0	random	1648	1648	-1	0	2	0	50389	0	0	365	241
7	0	random	1664	1664	0	2	3	0	50389	0	0	365	241
7	0	random	1680	1680	0	2	3	0	50389	0	0	366	243
7	0	random	1696	1696	0	2	3	0	50389	0	0	369	248
7	0	random	1712	1712	0	2	3	0	50389	0	0	374	258
7	0	random	1728	1728	0	2	3	0	50389	0	0	381	270
7	0	random	1744	1744	0	2	3	0	50389	0	0	390	283
7	0	random	1760	1760	0	2	3	0	50389	0	0	398	292
7	0	random	1776	1776	0	2	3	0	50389	0	0	407	300
7	0	random	1792	1792	0	2	3	0	50389	0	0	417	307
7	0	random	1808	1808	0	2	3	0	50389	0	0	424	312
7	0	random	1824	1824	0	2	3	0	50389	0	0	427	315
7	0	random	1840	1840	0	2	3	0	50389	0	0	428	316
7	0	random	1856	1856	0	2	3	0	50389	0	0	429	318
7	0	random	1872	1872	0	2	3	0	50389	0	0	430	318
7	0	random	1888	1888	0	2	3	0	50389	0	0	430	319
7	0	random	1904	1904	0	2	3	0	50389	0	0	430	319
7	0	random	1920	1920	0	2	3	0	50389	0	0	430	318
7	0	random	1936	1936	0	2	3	0	50389	0	0	430	318
7	0	random	1952	1952	0	2	3	0	50389	0	0	430	318
7	0	random	1968	1968	0	2	3	0	50389	0	0	430	318
7	0	random	1984	1984	0	2	3	0	50389	0	0	430	318
7	0	random	2000	2000	0	2	3	0	50389	0	0	430	318
7	0	random	2016	2016	0	2	3	0	50389	0	0	430	318
7	0	random	2032	2032	0	2	3	0	50389	0	0	430	318
7	0	random	2048	2048	0	2	3	0	50389	0	0	430	318
7	0	random	2064	2064	0	2	3	0	50389	0	0	430	318
7	0	random	2080	2080	0	2	3	0	50389	0	0	430	318
7	0	random	2096	2096	0	2	3	0	50389	0	0	430	318
7	0	random	2112	2112	0	2	3	0	50389	0	0	430	318
7	0	random	2128	2128	0	2	3	0	50389	0	0	429	317
7	0	random	2144	2144	0	2	3	0	50389	0	0	422	318
7	0	random	2160	2160	0	2	3	0	50389	0	0	413	328
7	0	random	2176	2176	0	2	3	0	50389	0	0	399	347
7	0	random	2192	2192	0	2	3	0	50389	0	0	382	377
7	0	random	2208	2208	0	2	3	0	50389	0	0	361	414
7	0	random	2224	2224	0	2	3	0	50389	0	0	341	452
7	0	random	2240	2240	0	2	3	0	50389	0	0	329	483
7	0	random	2256	2256	0	2	3	0	50389	0	0	327	500
7	0	random	2272	2272	0	2	3	0	50389	0	0	327	507
7	0	random	2288	2288	0	2	3	0	50389	0	0	330	514
7	0	random	2304	2304	0	2	3	0	50389	0	0	332	520
7	0	random	2320	2320	0	2	3	0	50389	0	0	333	526
7	0	random	2336	2336	0	2	3	0	50389	0	0	336	534
7	0	random	2352	2352	0	2	3	0	50389	0	0	338	540
7	0	random	2368	2368	0	2	3	0	50389	0	0	338	545
7	0	random	2384	2384	0	2	3	0	50389	0	0	336	551
7	0	random	2400	2400	0	2	3	0	50389	0	0	327	558
7	0	random	2416	2416	0	2	3	0	50389	0	0	312	563
7	0	random	2432	2432	0	2	3	0	50389	0	0	294	565
7	0	random	2448	2448	0	2	3	0	50389	0	0	277	565
7	0	random	2464	2464	0	2	3	0	50389	0	0	262	565
7	0	random	2480	2480	0	2	3	0	50389	0	0	250	566
7	0	random	2496	2496	0	2	3	0	50389	0	0	244	570
7	0	random	2512	2512	0	2	3	0	50389	0	0	243	577
7	0	random	2528	2528	0	2	3	0	50389	0	0	244	586
7	0	random	2544	2544	0	2	3	2	51781	2	1	250	595
7	0	random	2560	2560	0	2	3	2	51781	2	0	258	605
7	0	random	2576	2576	0	2	3	2	51781	2	0	265	613
7	0	random	2592	2592	0	2	3	2	51781	2	0	271	620
7	0	random	2608	2608	0	2	3	2	51781	2	0	274	626
7	0	random	2624	2624	0	2	3	2	51781	2	0	274	631
7	0	random	2640	2640	0	2	3	2	51781	2	0	273	635
7	0	random	2656	2656	0	2	3	2	51781	2	0	267	640
7	0	random	2672	2672	0	2	3	2	51781	2	0	257	647
7	0	random	2688	2688	0	2	3	2	51781	2	0	244	655
7	0	random	2705	2705	0	2	3	2	51781	2	0	235	661
7	0	random	2721	2721	0	2	3	2	51781	2	0	231	665
7	0	random	2737	2737	0	2	3	2	51781	2	0	231	667
7	0	random	2753	2753	0	2	3	2	51781	2	0	231	667
7	0	random	2769	2769	0	2	3	2	51781	2	0	231	667
7	0	random	2785	2785	0	2	3	2	51781	2	0	232	667
7	0	random	2801	2801	0	2	3	2	51781	2	0	234	666
7	0	random	2817	2817	0	2	3	2	51781	2	0	236	664
7	0	random	2833	2833	0	2	3	2	51781	2	0	239	659
7	0	random	2849	2849	0	2	3	2	51781	2	0	245	652
7	0	random	2865	2865	0	2	3	2	51781	2	0	253	643
7	0	random	2881	2881	0	2	3	2	51781	2	0	260	635
7	0	random	2897	2897	0	2	3	2	51781	2	0	269	625
7	0	random	2913	2913	0	2	3	2	51781	2	0	277	617
7	0	random	2929	2929	0	2	3	2	51781	2	0	285	610
7	0	random	2945	2945	0	2	3	2	51781	2	0	289	607
7	0	random	2961	2961	0	2	3	2	51781	2	0	289	605
7	0	random	2977	2977	0	2	3	2	51781	2	0	290	605
7	0	random	2993	2993	0	2	3	2	51781	2	0	290	604
7	0	random	3009	3009	0	2	3	2	51781	2	0	291	601
7	0	random	3025	3025	0	2	3	2	51781	2	0	293	599
7	0	random	3041	3041	0	2	3	2	51781	2	0	294	596
7	0	random	3057	3057	2	3	1	2	51781	2	0	294	595
